ID de persona,Fecha,Tipo,Detalle
,2026-01-01,Feriado,Año Nuevo.
,2026-02-16,Feriado,Carnaval
,2026-02-17,Feriado,Carnaval
,2026-03-23,Turistico,Día no laborable con fines turísticos
,2026-03-24,Feriado,Día Nacional de la Memoria por la Verdad y la Justicia
,2026-04-02,Feriado,Día del Veterano y de los Caídos en la Guerra de Malvinas
,2026-04-03,Feriado,Viernes Santo Festividad Cristiana
,2026-05-01,Feriado,Día del Trabajador
,2026-05-25,Feriado,Día de la Revolución de Mayo
,2026-06-15,Feriado,Paso a la Inmortalidad del Gral. Don Martín Miguel de Güemes (17/6)
,2026-06-20,Feriado,Paso a la Inmortalidad del Gral. Manuel Belgrano
,2026-07-09,Feriado,Día de la Independencia
,2026-07-10,Turistico,Día no laborable con fines turísticos
,2026-08-17,Feriado,Paso a la Inmortalidad del Gral. José de San Martín
,2026-10-12,Feriado,Día de la  Raza
,2026-11-23,Feriado,Día de la Soberanía Nacional (20/11)
,2026-12-07,Turistico,Día no laborable con fines turísticos
,2026-12-08,Feriado,Inmaculada Concepción de María
,2026-12-25,Feriado,Navidad
